observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	summaryStatistics
condition1__YAP_nuclear_observable_SEM	condition1	0.060482	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.049268	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.038052	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.026837	2			
condition1__YAP_nuclear_observable_SEM	condition1	0.069972	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.069972	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.063208	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.056444	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.04968	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.042915	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.045279	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.047643	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.050006	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.05237	3			
condition1__YAP_nuclear_observable_SEM	condition1	0.093152	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.093152	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.083984	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.074816	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.065647	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.056479	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.046853	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.037227	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.027601	5			
condition1__YAP_nuclear_observable_SEM	condition1	0.017975	5			
condition1__YAP_total_observable_SEM	condition1	0.042313	0			
condition1__YAP_total_observable_SEM	condition1	0.024624	0			
condition1__YAP_total_observable_SEM	condition1	0.02177	0			
condition1__YAP_total_observable_SEM	condition1	0.045843	0			
condition1__YAP_total_observable_SEM	condition1	0.056711	0			
condition1__YAP_total_observable_SEM	condition1	0.062587	0			
condition1__YAP_total_observable_SEM	condition1	0.042986	0			
condition1__YAP_total_observable_SEM	condition1	0.036903	0			
condition1__YAP_total_observable_SEM	condition1	0.030178	0			
condition1__YAP_total_observable_SEM	condition1	0.052427	0			
condition1__YAP_total_observable_SEM	condition1	0.0367	0.8			
condition1__YAP_total_observable_SEM	condition1	0.050725	0.8			
condition1__YAP_total_observable_SEM	condition1	0.048486	0.8			
condition1__YAP_total_observable_SEM	condition1	0.041492	0.8			
condition1__YAP_total_observable_SEM	condition1	0.062228	0.8			
condition1__YAP_total_observable_SEM	condition1	0.067372	0.8			
condition1__YAP_total_observable_SEM	condition1	0.042634	0.8			
condition1__YAP_total_observable_SEM	condition1	0.033167	0.8			
condition1__YAP_total_observable_SEM	condition1	0.028784	0.8			
condition1__YAP_total_observable_SEM	condition1	0.072231	0.8			
condition1__YAP_total_observable_SEM	condition1	0.092334	1.5			
condition1__YAP_total_observable_SEM	condition1	0.057898	1.5			
condition1__YAP_total_observable_SEM	condition1	0.042596	1.5			
condition1__YAP_total_observable_SEM	condition1	0.048738	1.5			
condition1__YAP_total_observable_SEM	condition1	0.062428	1.5			
