	collagen	speed	straight	angles	arrest	type
132	loose	1.92358793054142	0.279534528300216	1.44118362621142	0.7	target
133	loose	1.13867657165529	0.016460528510709	1.79510209536773	0.866666666666667	target
134	loose	1.40007539850836	0.018945826338567	1.86907778366321	0.808333333333333	target
135	loose	4.03421639821032	0.405864937513797	1.12111005741665	0.408333333333333	target
136	loose	9.67309202474306	0.191927336698131	1.04097158401416	0.075	target
137	loose	2.42444664127629	0.197749946627735	1.81233472089815	0.666666666666667	target
138	loose	10.3157999440701	0.787330857784118	0.708409429903734	0.023255813953488	target
139	loose	16.9406780446796	0.550818479977521	0.602526867503105	0.035714285714286	target
140	loose	5.68217962706127	0.145311943075561	1.41159364574022	0.241379310344828	target
141	loose	11.6949594877293	0.653972215529732	0.794269813013019	0.038461538461539	target
