	collagen	mean	lower	upper	type	time_min
156	loose	6770.44715342494	6624.0998827999	6916.79442404997	target	18
157	loose	6999.44353959871	6845.96308335135	7152.92399584607	target	18.5
158	loose	7230.30210730371	7069.47522834407	7391.12898626335	target	19
159	loose	7464.73055232992	7296.33901978873	7633.1220848711	target	19.5
160	loose	7700.30198960078	7524.19024269945	7876.41373650211	target	20
161	loose	7935.91977725513	7751.99137924408	8119.84817526617	target	20.5
162	loose	8171.79500340753	7979.85805653699	8363.73195027808	target	21
163	loose	8407.57288205039	8207.45216542724	8607.69359867355	target	21.5
164	loose	8642.74810789403	8434.21578734794	8851.28042844013	target	22
165	loose	8890.70013147502	8673.45249911577	9107.94776383427	target	22.5
166	loose	9140.00162661919	8913.86798470042	9366.13526853797	target	23
167	loose	9392.05757988622	9156.83905674133	9627.2761030311	target	23.5
168	loose	9640.2045582446	9395.77028364257	9884.63883284662	target	24
169	loose	9885.15465538106	9631.34450639052	10138.9648043716	target	24.5
170	loose	10127.9162745154	9864.52755280633	10391.3049962245	target	25
171	loose	10368.8581959937	10095.6209515635	10642.095440424	target	25.5
172	loose	10609.4940028257	10326.1996650862	10892.7883405652	target	26
173	loose	10852.7300385995	10559.1279354131	11146.332141786	target	26.5
174	loose	11095.0829181958	10790.9016881515	11399.2641482402	target	27
175	loose	11332.6415493793	11017.656182674	11647.6269160846	target	27.5
176	loose	11565.6125502255	11239.6787919547	11891.5463084963	target	28
177	loose	11800.1043423774	11463.0872221674	12137.1214625873	target	28.5
178	loose	12050.0201535877	11701.3299621259	12398.7103450495	target	29
179	loose	12294.0637974847	11933.5927055251	12654.5348894443	target	29.5
180	loose	12535.4863143699	12163.0573000473	12907.9153286925	target	30
181	loose	12774.0337746133	12389.356512116	13158.7110371106	target	30.5
182	loose	13013.3285888295	12616.0473133149	13410.6098643441	target	31
183	loose	13252.9407151553	12842.823601934	13663.0578283767	target	31.5
184	loose	13493.6129783183	13070.4392979154	13916.7866587211	target	32
185	loose	13730.6679220127	13294.2086390827	14167.1272049427	target	32.5
186	loose	13968.2826750397	13518.1100472131	14418.4553028663	target	33
187	loose	14203.8259084024	13739.6745620081	14667.9772547967	target	33.5
188	loose	14433.9376430576	13956.0350727939	14911.8402133213	target	34
189	loose	14663.1297304949	14171.0922524626	15155.1672085272	target	34.5
190	loose	14896.0310777526	14389.3367591646	15402.7253963407	target	35
191	loose	15134.9863858098	14613.0507513248	15656.9220202949	target	35.5
192	loose	15375.0277223807	14837.3954599631	15912.6599847983	target	36
193	loose	15610.520456842	15057.0376227517	16164.0032909324	target	36.5
194	loose	15849.9884743932	15280.2227278325	16419.754220954	target	37
195	loose	16088.2532195393	15501.5821580448	16674.9242810337	target	37.5
196	loose	16332.40976911	15728.3204961017	16936.4990421184	target	38
197	loose	16569.7876754635	15948.0720996246	17191.5032513024	target	38.5
198	loose	16807.9482359108	16168.5429947723	17447.3534770492	target	39
199	loose	17046.3099935301	16388.7392363444	17703.8807507158	target	39.5
200	loose	17286.3419864316	16610.3316623671	17962.3523104961	target	40
201	loose	17520.1957259441	16825.7573793407	18214.6340725475	target	40.5
202	loose	17745.542693097	17032.577151192	18458.5082350019	target	41
203	loose	17968.4518861677	17236.575605583	18700.3281667523	target	41.5
204	loose	18176.2506967537	17425.2915270988	18927.2098664087	target	42
205	loose	18370.6316738648	17600.5728848188	19140.6904629109	target	42.5
206	loose	18559.0644684634	17769.3602284071	19348.7687085197	target	43
207	loose	18732.4719397443	17923.3243715993	19541.6195078893	target	43.5
208	loose	18900.9037053055	18071.3821997065	19730.4252109046	target	44
209	loose	19058.2501255866	18207.6169444691	19908.8833067042	target	44.5
210	loose	19199.0658565069	18326.595350842	20071.5363621719	target	45
211	loose	19360.3424503118	18465.3964338034	20255.2884668203	target	45.5
212	loose	19517.8333137626	18598.9946310926	20436.6719964327	target	46
213	loose	19672.2924793941	18728.3481268713	20616.236831917	target	46.5
